bored,danger,dangerous,depress,destructive,dishonor,guilt,guilty,hunger,hungry,interest,lazy,lose,loss,phlegmatic,sadness,sleep,suicidal,tired,Cluster
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.224388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.195092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.413247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.176729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234296,0,yes
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.195092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.195092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.250877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.189664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.279182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.643198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.231295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.231295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.252909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.216591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.194824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.176317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.177864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.204993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.196488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.284557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.243696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.217558,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.248489,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0.27834,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0.294274,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.285277,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0.439144,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.288812,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0.383371,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.224786,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.226959,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.31246,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0.283915,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.493516,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.20824,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.211078,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18777,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.202808,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0.280484,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.200027,0,0,0,0,0.199521,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0.280484,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0.321251,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.187191,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.200027,0,0,0,0,0.199521,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.174375,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.190622,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.159972,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.190622,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.176417,0,0,0,0,0,0,0,0,0,0,yes
